Capture.ID,Animal.ID,ODFW.ID,SN,pop,subpop,age,sex,surv_to_8_months,Notes,A1,A2,A3,A4,A5,A6,A7,A8,AdultDelta,AdultTime,LambPop,LambEH,Movi.,L1,L2,L3,L4,L5,L6,L7,L8,LambDelta,LambTime,blood.urea.nitrogen,creatinine,glucose,cholesterol,triglycerides,total.protein,albumin,total.bilirubin,creatine.kinase,GGT,AST..SGOT.,Na,K,Cl,Ca,P,Mg,TCO,SDH,X.HBA.adj,NEFAs.adj,anion.gap,total.WBC,totneu,totlym,totmon,toteos,totbas,prop.E.coli.killed..1.128.,PW.prop.activation,con.A.prop.activation,LPS.prop.activation,globulins
W14-0118,W14,6132,23557,RSP,,5,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1.7,136,39,88,4.9,2.7,0.2,148,21,130,120,3.8,81,7.4,3.8,2.2,2.5,27.2,2.15,0.23,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2
W15-0118,W15,6147,23559,RSP,,2,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1.4,85,32,140,5.3,2.8,0.2,223,29,154,134,4.7,92,7.9,5.5,2.5,4.5,28,2.73,0.16,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
W16-0118,W16,6133,699997,TMP,,7,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2.2,167,55,70,7.2,4,0.2,115,31,162,156,4.4,108,10.2,4.7,3.3,3.6,36.3,2.95,0.41,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2
W17-0118,W17,6144,699995,BSP,,3,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1.8,165,72,80,8.1,4.2,0.3,194,21,283,156,5.3,107,10.9,5.9,3.4,3,42.4,2.46,0.39,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
W18-0118,W18,6134,699999,TCP,TCS,4,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.1,95,34,109,4.2,2.3,0.2,152,23,98,97,2.8,67,6.2,3.6,1.9,3.7,32.5,1.76,0.13,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9
W19-0118,W19,6148,699998,BSP,,7,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2.2,122,47,87,5.5,3.1,0.2,249,14,153,126,3.6,88,8.1,3.3,2.7,4.6,15.5,1.71,0.41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4
W2-0118,W2,6136,28953,TCP,TCW,4,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1.4,116,45,46,5.1,2.8,0.2,134,23,108,124,4.3,87,7.9,5.1,2.5,3.2,26,1.49,0.25,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3
W20-0118,W20,6140,699996,TCP,TCE,2,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.5,131,45,96,5.3,3.1,0.2,161,28,105,130,3.6,91,7.9,4.2,2.4,3.5,25.3,1.96,0.36,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2
W3-0118,W3,6142,28956,TCP,TCW,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,TCW,1.01E+15,0,10,10,11,0,0,0,0,0,TRUE,3,14,1.8,119,56,112,8.6,4.7,0.3,211,32,116,163,5.5,109,11.6,6.8,3.4,2,50.7,2.41,0.17,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
W4-0118,W4,6145,28958,TCP,TCE,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.4,83,42,103,6.3,2.8,0.2,110,24,116,122,3.7,85,7.7,5.1,2.4,3.6,26.2,1.71,0.11,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
W5-0118,W5,6137,28961,TCP,TCE,1,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.2,125,33,217,4.3,2.5,0.2,399,19,75,116,3.6,77,7.3,4.3,2,5.2,18.7,1.6,0.1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
W6-0118,W6,6139,28963,TCP,TCE,2,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,131,19,74,5.7,2.4,0.2,112,23,64,124,3.7,87,7.5,3.3,2,5.2,17.1,1.97,0.29,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
W7-0118,W7,6131,28964,BHP,,5,female,0,,10,10,10,10,10,10,10,10,FALSE,8,BHP,1.01E+15,1,10,10,10,10,10,11,0,0,TRUE,6,19,1.1,120,35,253,5.2,2.9,0.1,231,27,123,123,4,80,7.6,5.6,2.4,1.8,27.5,2.08,0.1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3
W8-0118,W8,6135,28967,TCP,TCS,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,TCS,1.01E+15,0,10,10,10,10,10,10,10,10,FALSE,8,6,1.3,81,31,160,5,2.6,0.1,178,27,82,109,2.8,72,6.6,4.1,2,2.9,24.7,1.31,0.08,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4
W9-0118,W9,6130,28968,BHP,,5,female,0,collar stopped working+L:BE,10,10,10,10,10,10,10,10,FALSE,8,BHP,1.01E+15,1,10,10,10,10,0,0,0,10,FALSE,8,21,1.1,121,43,147,5.9,3.5,0.2,132,27,199,128,4.4,84,8.2,5.3,2.8,2.1,54.8,1.62,0.12,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4
Y1-0217,Y1,10662,24697,SRP,HNK,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,MCK,1.01E+15,0,10,10,10,10,10,10,10,10,FALSE,8,14,1.9,168,56,409,6.3,3.8,0.2,418,30,120,154,4.8,99,10.3,4.9,3.4,2.1,22.1,1.82,0.11,58,6000,2760,60,3180,0,0,-0.082318841,NA,NA,NA,2.5
